,formula,xc,encut,ispin,ivdw,concentration,potential_energy,ZPE_correction,temperature,Cp,enthalpy_calculated,enthalpy_experimental,pressure,entropy,free_energy
106,CH3OH,PW91,520,1,0,0.1,-30.58552201,1.348531381,298.15,0.11890118852472842,-29.11808944047527,-2.0814769872284744,16938.450392599163,0.002640133565817919,-29.90524526312388
107,CH4,PW91,520,1,0,0.1,-24.15244604,1.180005122,298.15,0.10403188111002559,-22.868409036889975,-0.7762174598206185,100000.0,0.0019319112401610754,-23.444408373144
108,C2H4,PW91,520,1,0,0.1,-32.15940383,1.3534272660000002,298.15,0.10896366430259308,-30.69701289969741,0.5420512987574153,100000.0,0.0022730855676927784,-31.37473336170501
109,C2H6,PW91,520,1,0,0.1,-40.67403697,1.9694207664999999,298.15,0.12151021224308156,-38.58310599125692,-0.8716184884019238,100000.0,0.002365697979804372,-39.288438843935594
110,CH2O,PW91,520,1,0,0.1,-22.42717741,0.706302747,298.15,0.10388620699410345,-21.616988456005895,,100000.0,0.0022693947091121094,-22.29360848852767
111,N2,PW91,520,1,0,0.1,-16.71286781,0.1493307335,298.15,0.089926667916328,-16.47361040858367,0.0,100000.0,0.0019871858531255882,-17.066089870693066
112,NH3,PW91,520,1,0,0.1,-19.83678797,0.906880338,298.15,0.10383437374602933,-18.82607325825397,-0.47700514290652546,100000.0,0.0019968711040936854,-19.421440377939504
113,H2O,PW91,520,1,0,1.0,-14.63214762,0.5608528055,298.15,0.10289320172785354,-13.968401612772146,-2.506445205454288,3166.74874006291,0.0022570839531509093,-14.64135119340409
114,H2,PW91,520,1,0,1.0,-6.81840121,0.2683008115,298.15,0.08992399685769709,-6.460176401642303,0.0,100000.0,0.0013528272472139312,-6.863521845399137
115,O2,PW91,520,1,0,1.0,-9.80702357,0.09664782200000001,298.15,0.09002848838368525,-9.620347259616315,0.0,100000.0,0.002129244012641319,-10.255181361985324
116,H2O2,PW91,520,1,0,1.0,-18.67152944,0.689954889,298.15,0.1172600931105583,-17.864314457889442,-1.4093333767692797,100000.0,0.002385877564758431,-18.575663853822167
117,CO2,PW91,520,1,0,1.0,-23.16143261,0.3029478715,298.15,0.09824082061392292,-22.760243917886076,-4.080562177045822,100000.0,0.002223206330167229,-23.423092885225437
